,task_type,number_of_peoples,estimated_time_in_minutes
0,2,5,2837
1,1,4,3676
2,1,7,1701
3,2,3,5705
4,1,8,1748
5,3,3,7144
6,2,1,6755
7,1,9,1028
8,1,8,1190
9,1,9,1748
10,1,3,6556
11,3,5,3476
12,2,1,34433
13,3,8,1198
14,2,5,359
15,3,9,5674
16,3,5,3663
17,1,6,2653
18,1,1,3296
19,3,8,204
20,1,8,2228
21,4,4,5570
22,4,3,6072
23,1,10,786
24,3,1,17369
25,3,1,21187
26,2,8,2918
27,4,4,2109
28,2,6,1309
29,3,6,1413
30,3,10,3230
31,2,6,4772
32,4,9,5105
33,3,10,1921
34,1,9,813
35,2,2,3771
36,3,10,3757
37,4,8,1878
38,1,4,759
39,3,10,494
40,2,9,1590
41,4,9,2715
42,1,6,1212
43,2,2,566
44,3,6,190
45,3,8,1804
46,4,10,6491
47,1,9,1091
48,3,10,1024
49,3,2,5934
50,1,1,914
51,2,6,2309
52,1,4,5245
53,3,1,10055
54,4,2,3174
55,3,7,1329
56,4,9,3020
57,4,9,4646
58,4,7,1059
59,1,6,2417
60,3,9,326
61,1,3,5293
62,4,5,4487
63,1,2,2188
64,3,3,10862
65,4,9,803
66,2,3,1376
67,4,5,3764
68,1,5,1727
69,4,7,12635
70,3,7,1167
71,4,1,18895
72,4,4,175
73,2,2,9304
74,3,2,16728
75,4,7,7005
76,3,8,5054
77,3,9,5446
78,3,1,2836
79,4,10,5880
80,2,10,361
81,2,1,3747
82,1,6,2252
83,3,1,4084
84,2,5,143
85,2,8,3903
86,2,5,3456
87,1,10,415
88,1,10,1489
89,4,5,887
90,2,3,4485
91,3,2,8998
92,1,5,2914
93,3,5,4173
94,2,1,16855
95,1,10,1568
96,3,6,1711
97,2,7,3016
98,2,2,7545
99,3,4,548
100,3,1,39737
101,3,10,2777
102,1,8,315
103,1,4,3392
104,2,9,170
105,2,2,3960
106,1,10,1357
107,1,9,2329
108,1,5,3490
109,2,4,625
110,4,7,1419
111,2,3,996
112,2,4,110
113,4,3,11426
114,2,7,656
115,1,5,3506
116,1,6,3554
117,1,9,823
118,1,4,1622
119,4,10,5025
120,4,8,9788
121,2,5,4493
122,1,5,1503
123,1,10,330
124,2,1,6344
125,4,1,46877
126,3,2,10440
127,4,10,2859
128,4,3,3258
129,4,2,11766
130,1,3,3983
131,3,6,6326
132,3,8,1369
133,3,7,1419
134,4,2,33312
135,1,10,388
136,2,9,985
137,3,8,696
138,3,5,5710
139,4,4,18981
140,4,1,27833
141,3,3,12138
142,4,9,845
143,4,3,14577
144,3,10,4269
145,3,10,385
146,1,10,2379
147,3,9,3252
148,3,7,164
149,3,2,2639
150,2,7,2830
151,2,5,1296
152,3,8,789
153,1,10,597
154,1,7,1549
155,3,9,3512
156,2,6,3264
157,4,8,460
158,3,10,1082
159,3,7,401
160,1,1,3705
161,4,5,5573
162,1,3,3952
163,3,6,6296
164,3,5,2187
165,2,7,3872
166,3,9,311
167,4,5,12386
168,4,3,13831
169,4,7,7577
170,2,9,2415
171,1,2,11371
172,3,4,6242
173,3,9,3593
174,1,10,499
175,4,10,2098
176,3,3,971
177,2,3,2248
178,3,7,4643
179,2,7,574
180,2,10,806
181,3,3,1290
182,2,7,4024
183,2,7,2506
184,3,3,1206
185,3,6,279
186,1,9,1437
187,1,5,3314
188,2,9,315
189,4,7,1720
190,1,1,10894
191,4,8,317
192,2,10,130
193,3,6,896
194,1,9,1352
195,1,8,1607
196,4,8,1365
197,4,5,5002
198,1,10,795
199,3,10,244
200,4,9,3643
201,1,5,2020
202,3,10,1463
203,3,4,317
204,4,4,2467
205,4,9,11501
206,2,10,219
207,4,6,1232
208,3,8,3523
209,4,6,9553
210,4,2,598
211,3,5,9801
212,4,9,5223
213,3,2,539
214,3,2,21864
215,4,3,5087
216,2,6,406
217,3,5,3761
218,1,1,17265
219,4,9,6371
220,2,9,275
221,3,4,1630
222,1,10,534
223,4,8,6153
224,1,10,654
225,4,8,293
226,2,8,1384
227,3,1,31887
228,2,10,1910
229,1,1,23435
230,4,5,10017
231,4,3,27762
232,2,4,665
233,1,4,5493
234,2,1,27244
235,3,9,244
236,2,3,1874
237,4,5,20524
238,2,2,1746
239,2,7,2010
240,1,10,716
241,1,4,1491
242,4,10,1343
243,4,4,8129
244,2,10,611
245,4,5,16151
246,3,9,336
247,2,10,1927
248,4,3,7627
249,3,8,2186
250,4,9,7763
251,1,9,202
252,1,1,858
253,2,8,2295
254,1,10,815
255,4,10,4832
256,3,3,746
257,2,2,13712
258,1,3,1572
259,3,4,551
260,3,1,6576
261,3,6,2012
262,1,1,6681
263,4,1,53498
264,4,10,5131
265,2,6,1718
266,4,7,2239
267,1,9,597
268,2,10,350
269,4,9,2962
270,2,6,4290
271,4,5,15441
272,4,7,758
273,2,4,1332
274,3,7,771
275,2,3,7468
276,3,1,1829
277,4,7,3772
278,2,9,425
279,3,3,2004
280,2,10,349
281,1,10,1304
282,1,10,1277
283,1,8,2441
284,4,3,25626
285,1,7,1515
286,3,6,761
287,3,4,4136
288,3,5,748
289,4,5,7542
290,2,3,4446
291,1,4,4144
292,2,6,2961
293,2,6,209
294,3,6,1142
295,2,7,114
296,1,9,1513
297,3,2,16740
298,1,2,906
299,3,10,1021
300,4,3,18357
301,4,1,63349
302,3,5,370
303,1,5,2015
304,2,5,714
305,3,9,3211
306,4,8,2674
307,4,2,10569
308,3,4,8630
309,2,9,2156
310,2,7,2595
311,4,8,192
312,3,2,15377
313,2,9,2175
314,2,10,1209
315,4,10,4245
316,2,9,1367
317,3,6,7083
318,2,5,3872
319,1,9,885
320,3,10,3100
321,4,6,16085
322,3,3,10773
323,4,8,4628
324,2,2,9053
325,1,9,315
326,4,7,11737
327,3,3,3628
328,1,2,2640
329,3,6,683
330,2,5,906
331,3,2,14046
332,4,7,2319
333,3,10,1055
334,1,4,2907
335,3,2,17946
336,4,3,913
337,2,10,335
338,1,9,2032
339,1,4,3931
340,3,5,2237
341,4,4,1751
342,2,6,3390
343,4,7,7683
344,1,2,635
345,2,9,2061
346,4,7,9434
347,4,4,4486
348,1,8,1376
349,4,10,471
350,2,1,4698
351,1,9,2516
352,4,9,8639
353,4,7,2944
354,2,7,3537
355,1,1,10336
356,4,8,3955
357,3,3,7054
358,2,3,1787
359,4,2,33708
360,3,5,7261
361,4,3,22033
362,1,9,875
363,3,6,7094
364,2,7,725
365,4,2,3283
366,3,6,503
367,4,1,12586
368,1,4,3240
369,2,8,3148
370,1,1,6535
371,3,1,27009
372,4,7,3919
373,2,3,1759
374,1,5,841
375,3,10,198
376,2,2,10226
377,1,3,2858
378,1,9,1754
379,2,8,800
380,2,8,1040
381,1,3,344
382,3,5,3754
383,3,7,4209
384,1,8,1714
385,3,6,633
386,1,6,249
387,3,6,3203
388,1,1,14777
389,1,6,2744
390,4,8,1460
391,1,8,256
392,2,8,3296
393,3,8,1551
394,4,6,14485
395,1,4,6476
396,1,1,6224
397,1,4,257
398,4,1,45258
399,4,6,2511
400,1,1,6659
401,3,6,3435
402,4,3,16449
403,4,4,16440
404,2,6,206
405,2,6,3737
406,2,5,1589
407,2,7,3283
408,4,2,893
409,4,9,1027
410,3,4,11743
411,1,2,3500
412,1,4,5450
413,3,3,6581
414,1,1,16145
415,3,7,4758
416,1,9,253
417,1,2,2308
418,2,8,2562
419,2,1,938
420,4,8,6414
421,4,5,15910
422,3,4,7414
423,3,10,3017
424,2,4,526
425,3,10,403
426,4,9,8417
427,3,1,23063
428,3,8,4099
429,4,3,19027
430,1,10,1786
431,4,4,21428
432,4,5,12253
433,4,8,1342
434,4,3,1316
435,1,4,857
436,3,2,5421
437,2,9,829
438,1,1,980
439,1,4,4238
440,4,5,17039
441,1,5,1324
442,4,4,15372
443,3,10,936
444,1,10,283
445,2,1,14933
446,3,7,843
447,1,8,269
448,3,1,6812
449,1,1,5150
450,3,5,329
451,1,5,361
452,3,2,15229
453,4,6,12156
454,2,2,14775
455,1,7,1446
456,3,5,961
457,1,6,3332
458,3,5,4851
459,3,6,2738
460,3,9,545
461,4,4,4312
462,4,3,18882
463,4,5,12877
464,2,8,3303
465,4,10,791
466,2,3,808
467,4,8,325
468,3,6,1882
469,3,2,2426
470,2,8,103
471,3,4,1920
472,3,7,4864
473,2,6,3438
474,2,1,19016
475,3,8,2671
476,3,8,283
477,4,8,1492
478,1,3,4113
479,4,1,61904
480,2,7,1039
481,3,3,8100
482,2,7,580
483,2,3,7128
484,3,8,2496
485,4,6,15716
486,2,7,2698
487,4,10,357
488,4,9,3329
489,4,8,2244
490,4,8,1316
491,4,6,4520
492,4,7,12380
493,3,4,2303
494,3,2,2232
495,1,5,1158
496,4,6,14272
497,1,3,438
498,4,1,21541
499,1,2,1853
500,4,9,2542
501,4,1,9382
502,1,4,556
503,1,4,701
504,2,10,103
505,2,10,2181
506,4,3,15561
507,1,10,269
508,3,5,6583
509,3,6,4194
510,4,7,4764
511,2,10,2388
512,2,1,16584
513,3,2,16212
514,4,5,10450
515,2,6,566
516,4,8,6972
517,3,5,1305
518,4,2,1144
519,1,1,1526
520,4,1,24917
521,3,5,6653
522,2,10,756
523,4,10,1411
524,1,9,2044
525,3,7,2072
526,4,1,37418
527,4,7,6584
528,3,6,4658
529,1,7,365
530,4,1,19666
531,3,5,8822
532,2,2,216
533,4,6,5731
534,3,1,26376
535,1,5,1079
536,2,10,2062
537,3,4,2721
538,3,1,1714
539,2,2,12279
540,1,8,964
541,4,4,5990
542,3,2,12372
543,1,1,12549
544,4,8,9024
545,1,2,6405
546,1,9,2303
547,4,7,716
548,2,1,24826
549,4,6,8039
550,3,2,548
551,1,4,331
552,4,8,777
553,3,2,12774
554,1,3,438
555,1,10,945
556,2,10,2856
557,2,2,10158
558,2,8,464
559,4,6,3536
560,1,7,856
561,4,8,7591
562,4,4,3235
563,3,2,5945
564,1,8,3097
565,4,3,30975
566,3,1,34357
567,1,2,5884
568,2,8,1553
569,2,1,8782
570,2,10,978
571,3,1,4626
572,1,1,17297
573,4,4,25829
574,1,5,308
575,4,8,2892
576,4,4,4049
577,4,6,2804
578,3,6,1613
579,4,8,6443
580,3,7,1279
581,1,9,145
582,2,4,3612
